PJ-ID,EXP-ID,"Cat1.actual, mg","Cat2.actual, mg","Cat3.actual, mg","Cat4.actual, mg","Cat5.actual, mg","Ion1.actual, ƒÊL","Ion2.actual, ƒÊL","cOct1.actual, ƒÊL","CO2, MPa","H2, MPa",Ald_Yield
Round-006,4351,0,13.7,0,7.1,0,52.56,0,583.4,5,3,0.872224312
Round-006,4507,0,9.2,24.9,0,0,151.99,0,583.4,5,3,3.265046405
Round-006,1971,3.9,2.3,0,7.1,0,201.66,0,583.4,5,3,4.338105892
Round-007,3613,1.9,2.4,0,0,6.2,350.65,0,583.4,2,2,2.571081265
Round-007,4271,1.9,0,0,0,6.2,400.42,0,583.4,2,2,2.662360667
Round-007,6001,0,2.3,0,2.2,6.3,350.65,0,583.4,2,2,2.331665016
Round-007,5994,0,2.2,0,2.2,12.4,300.99,0,583.4,2,2,2.676931782
Round-007,5803,0,2.3,8.2,2.2,6.2,300.99,0,583.4,2,2,2.89032907
Round-007,6045,0,2.3,0,0,12.4,350.65,0,583.4,2,2,1.378604718
Round-007,5845,0,2.2,8.2,0,6.2,350.65,0,583.4,2,2,2.835785435
Round-007,5838,0,2.3,8.3,0,12.4,300.99,0,583.4,2,2,2.875785978
Round-007,4236,1.9,0,0,0,49.7,52.56,0,583.4,2,2,0.885878263
Round-007,4351,0,13.8,0,7,0,52.56,0,583.4,2,2,0.241333014
Round-007,637,7.7,0,0,11.6,0,52.56,0,583.4,2,2,1.159926594
Round-007,1971,3.8,2.2,0,6.9,0,201.66,0,583.4,2,2,1.332523586
Round-007,172,9.5,4.6,0,0,0,151.99,0,583.4,2,2,2.159599943
Round-007,45,13.5,0,0,0,0,151.99,0,583.4,2,2,1.853716455
Round-007,2,15.2,2.2,0,0,0,52.56,0,583.4,2,2,1.384475707
Round-007,311,9.5,0,0,2.3,0,201.66,0,583.4,2,2,1.166553186
Round-007,4334,0,13.8,16.5,0,0,0,117.69,583.4,2,2,0.478925313
Round-007,337,7.6,11.5,0,0,0,0,60.24,583.4,2,2,0.576666612
Round-007,4291,0,20.7,0,0,0,0,60.24,583.4,2,2,0.321620702
Round-007,6733,0,0,0,20.9,0,0,60.24,583.4,2,2,0.239627763
Round-007,4816,0,6.8,8.3,2.3,6.2,0,232.48,583.4,2,2,0.168321655
Round-007,6747,0,0,0,16.3,0,0,175.03,583.4,2,2,0.198437524
Round-007,5173,0,4.7,8.4,6.9,0,0,232.48,583.4,2,2,0.105780345
Round-007,4967,0,4.6,49.4,0,6.2,0,60.24,583.4,2,2,0.137328514
